Week Start Date,Mon AM,Mon PM,Tue AM,Tue PM,Wed AM,Wed PM,Thu AM,Thu PM,Fri AM,Fri PM,Sat AM,Sat PM,Sun AM,Sun PM
2024-08-26,,,,,,,,,,,,,#,#
2024-09-02,-,-,/,\,/,\,/,\,/,\,#,#,#,#
2024-09-09,/,\,/,\,/,\,O,O,O,O,#,#,#,#
2024-09-16,O,O,O,O,O,O,O,O,O,O,#,#,#,#
2024-09-23,/,\,/,\,/,\,/,\,/,\,#,#,#,#
2024-09-30,/,\,/,\,/,\,/,\,/,\,#,#,#,#
2024-10-07,/,\,/,\,/,\,/,\,L,\,#,#,#,#
2024-10-14,L,\,/,\,/,\,/,\,/,\,#,#,#,#
2024-10-21,I,I,I,I,I,I,/,\,/,\,#,#,#,#
2024-10-28,#,#,#,#,#,#,#,#,#,#,#,#,#,#
2024-11-04,/,\,/,\,/,\,/,\,/,\,#,#,#,#
2024-11-11,L,\,/,\,/,\,/,\,/,\,#,#,#,#
2024-11-18,/,\,/,\,#,#,/,\,/,\,#,#,#,#
2024-11-25,L,\,/,\,O,O,#,#,#,#,#,#,#,#
2024-12-02,#,#,/,\,/,\,I,I,/,\,#,#,#,#
2024-12-09,/,\,/,\,/,\,O,O,/,\,#,#,#,#
2024-12-16,/,\,/,\,/,\,/,\,O,O,#,#,#,#
2024-12-23,#,#,#,#,#,#,#,#,#,#,#,#,#,#
2024-12-30,#,#,#,#,#,#,#,#,#,#,#,#,#,#
2025-01-06,#,#,/,\,/,\,/,\,/,\,#,#,#,#
2025-01-13,/,\,/,\,/,\,/,\,/,\,#,#,#,#
2025-01-20,/,\,/,\,/,\,/,V,O,O,#,#,#,#
2025-01-27,/,\,/,\,/,\,/,\,/,\,#,#,#,#
2025-02-03,/,\,/,\,/,\,/,\,/,\,#,#,#,#
2025-02-10,/,\,/,\,/,\,/,\,/,\,,,,
