Week Start Date,Mon AM,Mon PM,Tue AM,Tue PM,Wed AM,Wed PM,Thu AM,Thu PM,Fri AM,Fri PM,Sat AM,Sat PM,Sun AM,Sun PM
2024-08-26,,,,,,,,,,,,,#,#
2024-09-02,#,#,#,#,/,\,/,\,/,\,#,#,#,#
2024-09-09,/,\,L,\,/,\,L,\,/,\,#,#,#,#
2024-09-16,/,\,I,I,I,I,I,I,I,I,#,#,#,#
2024-09-23,L,\,/,\,/,\,/,\,/,\,#,#,#,#
2024-09-30,/,\,/,\,/,\,/,\,/,\,#,#,#,#
2024-10-07,/,\,L,\,/,\,/,\,/,\,#,#,#,#
2024-10-14,/,\,/,\,L,\,L,\,I,I,#,#,#,#
2024-10-21,/,\,/,\,/,\,/,\,#,#,#,#,#,#
2024-10-28,#,#,#,#,#,#,#,#,#,#,#,#,#,#
2024-11-04,/,\,I,I,I,I,I,I,I,I,#,#,#,#
2024-11-11,I,I,I,I,I,I,/,\,/,\,#,#,#,#
2024-11-18,/,\,L,\,L,\,/,\,/,\,#,#,#,#
2024-11-25,/,\,L,\,L,\,L,\,L,\,#,#,#,#
2024-12-02,I,I,I,I,I,I,I,I,I,I,#,#,#,#
2024-12-09,/,\,L,\,L,\,/,\,/,\,#,#,#,#
2024-12-16,/,\,/,\,/,\,/,\,/,\,#,#,#,#
2024-12-23,#,#,#,#,#,#,#,#,#,#,#,#,#,#
2024-12-30,#,#,#,#,#,#,#,#,#,#,#,#,#,#
2025-01-06,/,\,/,\,/,\,/,\,/,\,#,#,#,#
2025-01-13,/,\,/,\,/,\,/,\,L,\,#,#,#,#
2025-01-20,/,\,I,I,I,I,/,\,L,\,#,#,#,#
2025-01-27,/,\,/,\,L,\,L,\,L,\,#,#,#,#
2025-02-03,N,N,-,-,,,,,,,,,,
2025-02-10,,,,,,,,,,,,,,
