Week Start Date,Mon AM,Mon PM,Tue AM,Tue PM,Wed AM,Wed PM,Thu AM,Thu PM,Fri AM,Fri PM
2024-08-19,,,,,,,,,,
2024-08-26,#,#,#,#,#,#,#,#,#,#
2024-09-02,#,#,#,#,#,#,#,#,#,#
2024-09-09,#,#,#,#,#,#,#,#,#,#
2024-09-16,#,#,#,#,#,#,#,#,#,#
2024-09-23,#,#,#,#,#,#,#,#,#,#
2024-09-30,#,#,#,#,#,#,#,#,#,#
2024-10-07,#,#,#,#,#,#,#,#,#,#
2024-10-14,#,#,#,#,#,#,#,#,#,#
2024-10-21,#,#,#,#,#,#,#,#,#,#
2024-10-28,#,#,#,#,#,#,#,#,#,#
2024-11-04,#,#,#,#,#,#,#,#,#,#
2024-11-11,#,#,#,#,#,#,#,#,#,#
2024-11-18,#,#,#,#,#,#,#,#,#,#
2024-11-25,#,#,#,#,#,#,#,#,#,#
